match_id;game_in_series;teamA;teamB;teamA_win;A_GP;A_W;A_L;A_AGT;A_K;A_D;A_KD;A_CKPM;A_GPR;A_GSPD;A_EGR;A_MLR;A_GD15;A_FB%;A_FT%;A_F3T%;A_PPG;A_HLD%;A_GRB%;A_FD%;A_DRG%;A_ELD%;A_FBN%;A_BN%;A_LNE%;A_JNG%;A_WPM;A_CWPM;A_WCPM;B_GP;B_W;B_L;B_AGT;B_K;B_D;B_KD;B_CKPM;B_GPR;B_GSPD;B_EGR;B_MLR;B_GD15;B_FB%;B_FT%;B_F3T%;B_PPG;B_HLD%;B_GRB%;B_FD%;B_DRG%;B_ELD%;B_FBN%;B_BN%;B_LNE%;B_JNG%;B_WPM;B_CWPM;B_WCPM;tournament;year;month;day
2;1;2;29;1;3.0;3.0;0.0;33.7;58.0;27.0;2.15;0.84;-1.0;100;-1.0;-1.0;-1.0;8;26;-1;-1.0;11;4;26;46;-1;-1;29;40;61;3.22;1.35;1.99;4.0;1.0;3.0;35.0;50.0;66.0;0.76;0.82;-1.0;34;-1.0;-1.0;-1.0;4;34;-1;-1.0;14;35;5;8;-1;-1;6;17;18;3.37;1.33;1.4;5;2025;1;25
2;2;2;29;1;3.0;3.0;0.0;33.7;58.0;27.0;2.15;0.84;-1.0;100;-1.0;-1.0;-1.0;8;26;-1;-1.0;11;4;26;46;-1;-1;29;40;61;3.22;1.35;1.99;4.0;1.0;3.0;35.0;50.0;66.0;0.76;0.82;-1.0;34;-1.0;-1.0;-1.0;4;34;-1;-1.0;14;35;5;8;-1;-1;6;17;18;3.37;1.33;1.4;5;2025;1;25
2;3;2;29;1;3.0;3.0;0.0;33.7;58.0;27.0;2.15;0.84;-1.0;100;-1.0;-1.0;-1.0;8;26;-1;-1.0;11;4;26;46;-1;-1;29;40;61;3.22;1.35;1.99;4.0;1.0;3.0;35.0;50.0;66.0;0.76;0.82;-1.0;34;-1.0;-1.0;-1.0;4;34;-1;-1.0;14;35;5;8;-1;-1;6;17;18;3.37;1.33;1.4;5;2025;1;25
13;1;51;1;1;3.0;3.0;0.0;33.0;59.0;35.0;1.69;0.95;-1.0;62;-1.0;-1.0;-1.0;8;26;-1;-1.0;29;13;9;19;-1;-1;18;36;76;3.27;1.31;1.59;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;1;24
13;2;51;1;0;3.0;3.0;0.0;33.0;59.0;35.0;1.69;0.95;-1.0;62;-1.0;-1.0;-1.0;8;26;-1;-1.0;29;13;9;19;-1;-1;18;36;76;3.27;1.31;1.59;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;1;24
13;3;51;1;0;3.0;3.0;0.0;33.0;59.0;35.0;1.69;0.95;-1.0;62;-1.0;-1.0;-1.0;8;26;-1;-1.0;29;13;9;19;-1;-1;18;36;76;3.27;1.31;1.59;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;1;24
13;4;51;1;0;3.0;3.0;0.0;33.0;59.0;35.0;1.69;0.95;-1.0;62;-1.0;-1.0;-1.0;8;26;-1;-1.0;29;13;9;19;-1;-1;18;36;76;3.27;1.31;1.59;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;1;24
24;1;37;25;1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;3.0;3.0;0.0;33.7;57.0;22.0;2.59;0.78;-1.0;93;-1.0;-1.0;-1.0;24;11;-1;-1.0;26;37;1;30;-1;-1;4;27;32;3.75;1.31;1.44;5;2025;1;23
24;2;37;25;1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;3.0;3.0;0.0;33.7;57.0;22.0;2.59;0.78;-1.0;93;-1.0;-1.0;-1.0;24;11;-1;-1.0;26;37;1;30;-1;-1;4;27;32;3.75;1.31;1.44;5;2025;1;23
24;3;37;25;0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;3.0;3.0;0.0;33.7;57.0;22.0;2.59;0.78;-1.0;93;-1.0;-1.0;-1.0;24;11;-1;-1.0;26;37;1;30;-1;-1;4;27;32;3.75;1.31;1.44;5;2025;1;23
