"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LEC 2025 Winter","2025-01-27","Team Vitality",6,3,3,35.5,83,90,0.92,0.81,-0.7,"0.1%",36.8,13.2,-1113,"50%","67%","17%",3.7,"50%","44%","50%","53%","100%","67%","50%","49.7%","47.2%",3.34,1.25,1.42
"LEC 2025 Winter","2025-02-01","Fnatic",7,6,1,31.6,117,76,1.54,0.87,1.16,"7.3%",59.7,26,1009,"43%","43%","43%",6.4,"14%","52%","43%","58%",,"57%","63%","51.4%","57.3%",3.2,0.88,1.41
"LEC 2025 Winter","2025-02-01","G2 Esports",7,4,3,33.1,98,81,1.21,0.77,1.06,"6.2%",64.6,-7.4,1129,"43%","43%","86%",6.3,"57%","45%","71%","55%","0%","43%","56%","49.8%","54.6%",2.89,1.01,1.44
"LEC 2025 Winter","2025-02-01","GiantX",7,4,3,36.5,106,94,1.13,0.78,0.02,"0.3%",43.5,13.6,-635,"57%","43%","29%",4,"29%","40%","43%","42%","75%","71%","58%","50.8%","47.0%",3.27,1.15,1.55
"LEC 2025 Winter","2025-02-01","Karmine Corp",7,6,1,33.9,132,70,1.89,0.85,0.5,"6.0%",49.7,36.1,-20,"29%","43%","57%",6,"43%","40%","57%","63%","100%","29%","43%","50.9%","53.8%",3.63,1.24,1.67
"LEC 2025 Winter","2025-02-01","Movistar KOI",7,5,2,34.2,114,80,1.43,0.81,0.99,"6.6%",61.5,9.9,1133,"71%","100%","86%",4.9,"100%","69%","57%","69%",,"86%","78%","49.2%","54.4%",3.42,1.5,1.92
"LEC 2025 Winter","2025-02-01","Rogue",7,1,6,38.3,76,120,0.63,0.73,-0.81,"-5.1%",49.9,-35.6,-530,"43%","43%","43%",4.1,"43%","60%","43%","42%","25%","29%","45%","48.8%","44.9%",3.6,1.2,1.44
"LEC 2025 Winter","2025-02-01","SK Gaming",7,0,7,29.5,43,122,0.35,0.79,-1.29,"-11.1%",37.4,-37.4,-759,"57%","43%","43%",6,"43%","48%","57%","33%",,"0%","0%","49.2%","46.5%",3.08,1.18,1.25
"LEC 2025 Winter","2025-02-01","Team BDS",7,3,4,35,93,94,0.99,0.76,0.09,"-2.7%",49.9,-7,-8,"57%","57%","57%",3.3,"71%","55%","43%","51%",,"43%","50%","50.6%","46.7%",3.23,1.23,1.66
"LEC 2025 Winter","2025-02-01","Team Heretics",7,3,4,34.8,81,112,0.72,0.79,-1.25,"-7.0%",39.6,3.2,-942,"43%","14%","29%",2.4,"43%","40%","43%","37%",,"29%","44%","49.8%","48.2%",3.49,1.29,1.56
"LEC 2025 Winter","2025-02-01","Team Vitality",7,3,4,36,97,111,0.87,0.82,-0.39,"-0.7%",44.2,-1.4,-378,"57%","71%","29%",4,"57%","50%","43%","49%","50%","71%","50%","49.6%","46.4%",3.38,1.3,1.45
"LEC 2025 Winter","2025-02-02","Fnatic",8,7,1,31.1,143,81,1.77,0.9,1.43,"9.4%",64.4,23.1,1467,"50%","50%","50%",6.1,"25%","46%","50%","63%",,"63%","67%","51.3%","56.9%",3.15,0.86,1.36
"LEC 2025 Winter","2025-02-02","G2 Esports",8,5,3,32.7,122,90,1.36,0.81,1.14,"6.0%",61.2,1.3,964,"50%","38%","75%",6.4,"50%","52%","63%","57%","0%","50%","60%","49.8%","54.2%",2.9,1.03,1.45
"LEC 2025 Winter","2025-02-02","GiantX",8,5,3,37.1,124,107,1.16,0.78,0.43,"1.8%",48,14.5,-188,"63%","50%","38%",3.9,"38%","44%","38%","41%","75%","75%","64%","50.5%","48.0%",3.26,1.16,1.57
