"date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"2025-02-23","GiantX",7,2,5,33.3,79,90,0.88,0.73,-0.77,"-1.2%",40.6,-12.1,-1118,"43%","43%","43%",3.7,"14%","50%","43%","39%",,"29%","29%","50.1%","47.2%",3.46,1.38,1.68
"2025-02-23","Karmine Corp",4,4,0,33.8,70,33,2.12,0.76,1.92,"10.5%",75.8,24.2,2187,"75%","75%","75%",6.5,"75%","63%","50%","88%","100%","50%","80%","49.9%","56.7%",3.35,1.2,1.73
"2025-02-23","Movistar KOI",6,4,2,32.2,80,66,1.21,0.75,1.1,"6.2%",62,4.6,1549,"67%","67%","67%",5,"67%","78%","50%","52%",,"83%","86%","50.1%","54.6%",3.87,1.57,1.8
"2025-02-23","Team BDS",8,3,5,38,140,146,0.96,0.94,-0.13,"-4.7%",56.4,-18.9,406,"50%","75%","75%",3.9,"75%","54%","50%","47%",,"63%","53%","49.3%","44.7%",3.24,1.19,1.56
"2025-02-23","Team Heretics",5,1,4,31.1,42,78,0.54,0.77,-1.13,"-10.3%",28.5,-8.5,-1201,"20%","60%","20%",3.4,"60%","40%","40%","33%",,"20%","25%","49.3%","47.6%",3.09,1.25,1.5
"2025-02-23","Team Vitality",5,1,4,38,78,96,0.81,0.92,-1.19,"-4.9%",19.4,0.6,-2884,"20%","0%","20%",2,"20%","23%","60%","36%","0%","20%","13%","50.3%","48.6%",3.14,1.24,1.57
"2025-02-24","Fnatic",7,4,3,36.4,117,124,0.94,0.94,0.2,"3.7%",58,-0.8,646,"71%","57%","29%",4.6,"57%","57%","43%","54%",,"29%","50%","50.3%","52.5%",3.27,1.02,1.36
"2025-02-24","G2 Esports",8,7,1,33,132,78,1.69,0.79,1.15,"4.3%",66.9,20.6,1005,"63%","38%","75%",4.9,"50%","35%","75%","68%",,"38%","71%","50.7%","53.7%",3.14,1.01,1.56
"2025-02-24","GiantX",7,2,5,33.3,79,90,0.88,0.73,-0.77,"-1.2%",40.6,-12.1,-1118,"43%","43%","43%",3.7,"14%","50%","43%","39%",,"29%","29%","50.1%","47.2%",3.46,1.38,1.68
"2025-02-24","Karmine Corp",8,5,3,31.4,95,86,1.1,0.72,0.21,"3.2%",51.4,11.1,395,"50%","50%","50%",4.1,"50%","56%","38%","59%","100%","38%","63%","49.9%","50.8%",3.19,1.13,1.44
"2025-02-24","Movistar KOI",6,4,2,32.2,80,66,1.21,0.75,1.1,"6.2%",62,4.6,1549,"67%","67%","67%",5,"67%","78%","50%","52%",,"83%","86%","50.1%","54.6%",3.87,1.57,1.8
"2025-02-24","Team BDS",8,3,5,38,140,146,0.96,0.94,-0.13,"-4.7%",56.4,-18.9,406,"50%","75%","75%",3.9,"75%","54%","50%","47%",,"63%","53%","49.3%","44.7%",3.24,1.19,1.56
"2025-02-24","Team Heretics",5,1,4,31.1,42,78,0.54,0.77,-1.13,"-10.3%",28.5,-8.5,-1201,"20%","60%","20%",3.4,"60%","40%","40%","33%",,"20%","25%","49.3%","47.6%",3.09,1.25,1.5
"2025-02-24","Team Vitality",5,1,4,38,78,96,0.81,0.92,-1.19,"-4.9%",19.4,0.6,-2884,"20%","0%","20%",2,"20%","23%","60%","36%","0%","20%","13%","50.3%","48.6%",3.14,1.24,1.57
"2025-02-28""Fnatic",11,7,4,34.9,176,180,0.98,0.93,0.02,"1.6%",56,7.7,260,"64%","55%","45%",4,"64%","45%","55%","55%",,"36%","53%","50.6%","52.1%",3.3,1,1.38
"2025-02-28""G2 Esports",8,7,1,33,132,78,1.69,0.79,1.15,"4.3%",66.9,20.6,1005,"63%","38%","75%",4.9,"50%","35%","75%","68%",,"38%","71%","50.7%","53.7%",3.14,1.01,1.56
"2025-02-28""GiantX",7,2,5,33.3,79,90,0.88,0.73,-0.77,"-1.2%",40.6,-12.1,-1118,"43%","43%","43%",3.7,"14%","50%","43%","39%",,"29%","29%","50.1%","47.2%",3.46,1.38,1.68
"2025-02-28""Karmine Corp",8,5,3,31.4,95,86,1.1,0.72,0.21,"3.2%",51.4,11.1,395,"50%","50%","50%",4.1,"50%","56%","38%","59%","100%","38%","63%","49.9%","50.8%",3.19,1.13,1.44
"2025-02-28""Movistar KOI",10,5,5,32.2,136,125,1.09,0.81,0.79,"4.5%",56.3,-6.3,1095,"60%","60%","50%",4.9,"50%","78%","40%","49%",,"70%","67%","49.6%","52.2%",3.73,1.53,1.66
"2025-02-28""Team BDS",8,3,5,38,140,146,0.96,0.94,-0.13,"-4.7%",56.4,-18.9,406,"50%","75%","75%",3.9,"75%","54%","50%","47%",,"63%","53%","49.3%","44.7%",3.24,1.19,1.56
"2025-02-28""Team Heretics",5,1,4,31.1,42,78,0.54,0.77,-1.13,"-10.3%",28.5,-8.5,-1201,"20%","60%","20%",3.4,"60%","40%","40%","33%",,"20%","25%","49.3%","47.6%",3.09,1.25,1.5
"2025-02-28""Team Vitality",5,1,4,38,78,96,0.81,0.92,-1.19,"-4.9%",19.4,0.6,-2884,"20%","0%","20%",2,"20%","23%","60%","36%","0%","20%","13%","50.3%","48.6%",3.14,1.24,1.57
"2025-03-01","Fnatic",16,9,7,35.1,252,263,0.96,0.92,-0.02,"0.8%",50,6.2,22,"56%","50%","44%",3.7,"69%","45%","50%","52%","0%","38%","59%","50.2%","52.2%",3.28,1,1.43
"2025-03-01","G2 Esports",8,7,1,33,132,78,1.69,0.79,1.15,"4.3%",66.9,20.6,1005,"63%","38%","75%",4.9,"50%","35%","75%","68%",,"38%","71%","50.7%","53.7%",3.14,1.01,1.56
"2025-03-01","GiantX",7,2,5,33.3,79,90,0.88,0.73,-0.77,"-1.2%",40.6,-12.1,-1118,"43%","43%","43%",3.7,"14%","50%","43%","39%",,"29%","29%","50.1%","47.2%",3.46,1.38,1.68
"2025-03-01","Karmine Corp",13,8,5,33.1,178,162,1.1,0.79,0.18,"2.4%",55.9,5.7,437,"54%","54%","54%",4.7,"38%","55%","46%","57%","100%","38%","47%","50.2%","49.6%",3.25,1.17,1.49
"2025-03-01","Movistar KOI",10,5,5,32.2,136,125,1.09,0.81,0.79,"4.5%",56.3,-6.3,1095,"60%","60%","50%",4.9,"50%","78%","40%","49%",,"70%","67%","49.6%","52.2%",3.73,1.53,1.66
"2025-03-01","Team BDS",8,3,5,38,140,146,0.96,0.94,-0.13,"-4.7%",56.4,-18.9,406,"50%","75%","75%",3.9,"75%","54%","50%","47%",,"63%","53%","49.3%","44.7%",3.24,1.19,1.56
"2025-03-01","Team Heretics",5,1,4,31.1,42,78,0.54,0.77,-1.13,"-10.3%",28.5,-8.5,-1201,"20%","60%","20%",3.4,"60%","40%","40%","33%",,"20%","25%","49.3%","47.6%",3.09,1.25,1.5
"2025-03-01","Team Vitality",5,1,4,38,78,96,0.81,0.92,-1.19,"-4.9%",19.4,0.6,-2884,"20%","0%","20%",2,"20%","23%","60%","36%","0%","20%","13%","50.3%","48.6%",3.14,1.24,1.57
"2025-03-02","Fnatic",16,9,7,35.1,252,263,0.96,0.92,-0.02,"0.8%",50,6.2,22,"56%","50%","44%",3.7,"69%","45%","50%","52%","0%","38%","59%","50.2%","52.2%",3.28,1,1.43
"2025-03-02","G2 Esports",11,7,4,32.6,153,141,1.09,0.82,0.55,"-0.7%",61.5,2.1,821,"55%","36%","55%",4.5,"55%","41%","55%","54%","50%","27%","50%","50.1%","51.7%",3.07,1.01,1.49
"2025-03-02","GiantX",7,2,5,33.3,79,90,0.88,0.73,-0.77,"-1.2%",40.6,-12.1,-1118,"43%","43%","43%",3.7,"14%","50%","43%","39%",,"29%","29%","50.1%","47.2%",3.46,1.38,1.68
"2025-03-02","Karmine Corp",16,11,5,32.8,241,184,1.31,0.81,0.35,"4.5%",55.3,13.4,293,"56%","56%","63%",4.8,"38%","53%","56%","63%","75%","44%","56%","50.4%","50.4%",3.29,1.19,1.46
"2025-03-02","Movistar KOI",10,5,5,32.2,136,125,1.09,0.81,0.79,"4.5%",56.3,-6.3,1095,"60%","60%","50%",4.9,"50%","78%","40%","49%",,"70%","67%","49.6%","52.2%",3.73,1.53,1.66
"2025-03-02","Team BDS",8,3,5,38,140,146,0.96,0.94,-0.13,"-4.7%",56.4,-18.9,406,"50%","75%","75%",3.9,"75%","54%","50%","47%",,"63%","53%","49.3%","44.7%",3.24,1.19,1.56
"2025-03-02","Team Heretics",5,1,4,31.1,42,78,0.54,0.77,-1.13,"-10.3%",28.5,-8.5,-1201,"20%","60%","20%",3.4,"60%","40%","40%","33%",,"20%","25%","49.3%","47.6%",3.09,1.25,1.5
"2025-03-02","Team Vitality",5,1,4,38,78,96,0.81,0.92,-1.19,"-4.9%",19.4,0.6,-2884,"20%","0%","20%",2,"20%","23%","60%","36%","0%","20%","13%","50.3%","48.6%",3.14,1.24,1.57
"2025-01-12","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-12","Weibo Gaming",3,3,0,33.8,57,34,1.68,0.9,,"9.0%",,,,"100%","67%",,,"67%","50%","67%","50%",,,"100%","50.1%","54.0%",3.42,1.28,1.77
"2025-01-13","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-13","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-13","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-13","Weibo Gaming",3,3,0,33.8,57,34,1.68,0.9,,"9.0%",,,,"100%","67%",,,"67%","50%","67%","50%",,,"100%","50.1%","54.0%",3.42,1.28,1.77
"2025-01-14","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-14","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-14","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-14","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-14","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-14","Weibo Gaming",3,3,0,33.8,57,34,1.68,0.9,,"9.0%",,,,"100%","67%",,,"67%","50%","67%","50%",,,"100%","50.1%","54.0%",3.42,1.28,1.77
"2025-01-15","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-15","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-15","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-15","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-15","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-15","Ultra Prime",4,1,3,30,51,67,0.76,0.98,,"-11.9%",,,,"50%","25%",,,"25%","38%","50%","44%",,,"67%","47.9%","47.2%",3.3,1.52,1.44
"2025-01-15","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-16","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-16","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-16","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-16","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-16","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-16","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-16","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-16","Ultra Prime",4,1,3,30,51,67,0.76,0.98,,"-11.9%",,,,"50%","25%",,,"25%","38%","50%","44%",,,"67%","47.9%","47.2%",3.3,1.52,1.44
"2025-01-16","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-17","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-17","Bilibili Gaming",3,3,0,33.7,58,27,2.15,0.84,,"7.1%",,,,"33%","67%",,,"33%","33%","67%","79%",,,"67%","51.9%","52.9%",3.22,1.35,1.99
"2025-01-17","EDward Gaming",3,0,3,33.7,27,58,0.47,0.84,,"-7.1%",,,,"67%","33%",,,"67%","67%","33%","21%",,,"33%","48.1%","47.1%",3.34,1.37,1.33
"2025-01-17","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-17","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-17","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-17","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-17","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-17","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-17","Ultra Prime",4,1,3,30,51,67,0.76,0.98,,"-11.9%",,,,"50%","25%",,,"25%","38%","50%","44%",,,"67%","47.9%","47.2%",3.3,1.52,1.44
"2025-01-17","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-18","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-18","Bilibili Gaming",3,3,0,33.7,58,27,2.15,0.84,,"7.1%",,,,"33%","67%",,,"33%","33%","67%","79%",,,"67%","51.9%","52.9%",3.22,1.35,1.99
"2025-01-18","EDward Gaming",3,0,3,33.7,27,58,0.47,0.84,,"-7.1%",,,,"67%","33%",,,"67%","67%","33%","21%",,,"33%","48.1%","47.1%",3.34,1.37,1.33
"2025-01-18","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-18","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-18","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-18","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-18","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-18","Team WE",3,0,3,33,35,59,0.59,0.95,,"-10.9%",,,,"67%","33%",,,"33%","56%","67%","55%",,,"50%","48.5%","42.8%",3.36,1.41,1.37
"2025-01-18","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-18","Top Esports",3,3,0,33,59,35,1.69,0.95,,"10.9%",,,,"33%","67%",,,"67%","44%","33%","45%",,,"50%","51.5%","57.2%",3.27,1.31,1.59
"2025-01-18","Ultra Prime",4,1,3,30,51,67,0.76,0.98,,"-11.9%",,,,"50%","25%",,,"25%","38%","50%","44%",,,"67%","47.9%","47.2%",3.3,1.52,1.44
"2025-01-18","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-19","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-19","Bilibili Gaming",3,3,0,33.7,58,27,2.15,0.84,,"7.1%",,,,"33%","67%",,,"33%","33%","67%","79%",,,"67%","51.9%","52.9%",3.22,1.35,1.99
"2025-01-19","EDward Gaming",3,0,3,33.7,27,58,0.47,0.84,,"-7.1%",,,,"67%","33%",,,"67%","67%","33%","21%",,,"33%","48.1%","47.1%",3.34,1.37,1.33
"2025-01-19","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-19","Invictus Gaming",4,1,3,32.3,48,65,0.74,0.87,,"-0.4%",,,,"0%","50%",,,"50%","33%","75%","33%",,,"0%","51.1%","45.8%",3.25,1.34,1.56
"2025-01-19","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-19","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-19","Ninjas in Pyjamas",4,3,1,32.3,65,48,1.35,0.87,,"0.4%",,,,"100%","50%",,,"50%","67%","25%","67%",,,"100%","48.9%","54.2%",3.12,1.18,1.45
"2025-01-19","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-19","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-19","Team WE",3,0,3,33,35,59,0.59,0.95,,"-10.9%",,,,"67%","33%",,,"33%","56%","67%","55%",,,"50%","48.5%","42.8%",3.36,1.41,1.37
"2025-01-19","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-19","Top Esports",3,3,0,33,59,35,1.69,0.95,,"10.9%",,,,"33%","67%",,,"67%","44%","33%","45%",,,"50%","51.5%","57.2%",3.27,1.31,1.59
"2025-01-19","Ultra Prime",4,1,3,30,51,67,0.76,0.98,,"-11.9%",,,,"50%","25%",,,"25%","38%","50%","44%",,,"67%","47.9%","47.2%",3.3,1.52,1.44
"2025-01-19","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-20","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-20","Bilibili Gaming",3,3,0,33.7,58,27,2.15,0.84,,"7.1%",,,,"33%","67%",,,"33%","33%","67%","79%",,,"67%","51.9%","52.9%",3.22,1.35,1.99
"2025-01-20","EDward Gaming",3,0,3,33.7,27,58,0.47,0.84,,"-7.1%",,,,"67%","33%",,,"67%","67%","33%","21%",,,"33%","48.1%","47.1%",3.34,1.37,1.33
"2025-01-20","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-20","Invictus Gaming",4,1,3,32.3,48,65,0.74,0.87,,"-0.4%",,,,"0%","50%",,,"50%","33%","75%","33%",,,"0%","51.1%","45.8%",3.25,1.34,1.56
"2025-01-20","JD Gaming",3,3,0,33.7,57,22,2.59,0.78,,"7.2%",,,,"67%","33%",,,"67%","78%","100%","58%",,,"25%","50.9%","49.5%",3.75,1.31,1.44
"2025-01-20","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-20","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-20","Ninjas in Pyjamas",4,3,1,32.3,65,48,1.35,0.87,,"0.4%",,,,"100%","50%",,,"50%","67%","25%","67%",,,"100%","48.9%","54.2%",3.12,1.18,1.45
"2025-01-20","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-20","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-20","Team WE",3,0,3,33,35,59,0.59,0.95,,"-10.9%",,,,"67%","33%",,,"33%","56%","67%","55%",,,"50%","48.5%","42.8%",3.36,1.41,1.37
"2025-01-20","ThunderTalk Gaming",4,3,1,35,65,50,1.3,0.82,,"5.5%",,,,"75%","25%",,,"50%","29%","75%","67%",,,"71%","50.1%","53.2%",3.53,1.47,1.47
"2025-01-20","Top Esports",3,3,0,33,59,35,1.69,0.95,,"10.9%",,,,"33%","67%",,,"67%","44%","33%","45%",,,"50%","51.5%","57.2%",3.27,1.31,1.59
"2025-01-20","Ultra Prime",7,1,6,31.6,73,124,0.59,0.89,,"-9.9%",,,,"43%","43%",,,"29%","31%","29%","43%",,,"71%","48.4%","48.6%",3.33,1.52,1.57
"2025-01-20","Weibo Gaming",7,6,1,31.6,123,87,1.41,0.94,,"10.7%",,,,"71%","71%",,,"71%","57%","57%","54%",,,"67%","51.3%","53.3%",3.4,1.28,1.66
"2025-01-21","Anyone's Legend",3,3,0,34.9,76,51,1.49,1.21,,"7.3%",,,,"67%","33%",,,"33%","33%","100%","55%",,,"80%","52.6%","52.2%",3.41,1.3,1.82
"2025-01-21","Bilibili Gaming",3,3,0,33.7,58,27,2.15,0.84,,"7.1%",,,,"33%","67%",,,"33%","33%","67%","79%",,,"67%","51.9%","52.9%",3.22,1.35,1.99
"2025-01-21","EDward Gaming",7,1,6,32.5,80,128,0.63,0.91,,"-6.6%",,,,"57%","29%",,,"43%","45%","43%","29%",,,"25%","48.9%","46.8%",3.43,1.39,1.38
"2025-01-21","FunPlus Phoenix",4,1,3,35.4,42,60,0.7,0.72,,"-4.3%",,,,"25%","0%",,,"50%","46%","75%","55%",,,"40%","49.8%","46.8%",3.31,1.34,1.62
"2025-01-21","Invictus Gaming",4,1,3,32.3,48,65,0.74,0.87,,"-0.4%",,,,"0%","50%",,,"50%","33%","75%","33%",,,"0%","51.1%","45.8%",3.25,1.34,1.56
"2025-01-21","JD Gaming",3,3,0,33.7,57,22,2.59,0.78,,"7.2%",,,,"67%","33%",,,"67%","78%","100%","58%",,,"25%","50.9%","49.5%",3.75,1.31,1.44
"2025-01-21","LGD Gaming",3,0,3,34.9,51,76,0.67,1.21,,"-7.3%",,,,"33%","67%",,,"67%","67%","0%","45%",,,"20%","47.4%","47.8%",3.17,1.39,1.51
"2025-01-21","LNG Esports",4,1,3,35,50,66,0.76,0.82,,"-5.5%",,,,"25%","75%",,,"50%","71%","25%","33%",,,"29%","49.9%","46.8%",3.37,1.33,1.4
"2025-01-21","Ninjas in Pyjamas",4,3,1,32.3,65,48,1.35,0.87,,"0.4%",,,,"100%","50%",,,"50%","67%","25%","67%",,,"100%","48.9%","54.2%",3.12,1.18,1.45
"2025-01-21","Oh My God",3,0,3,33.8,34,57,0.6,0.9,,"-9.0%",,,,"0%","33%",,,"33%","50%","33%","50%",,,"0%","49.9%","46.0%",3.61,1.34,1.49
"2025-01-21","Royal Never Give Up",4,3,1,35.4,60,42,1.43,0.72,,"4.3%",,,,"75%","100%",,,"50%","54%","25%","45%",,,"60%","50.2%","53.2%",3.3,1.31,1.59
"2025-01-21","Team WE",3,0,3,33,35,59,0.59,0.95,,"-10.9%",,,,"67%","33%",,,"33%","56%","67%","55%",,,"50%","48.5%","42.8%",3.36,1.41,1.37
"2025-01-21","ThunderTalk Gaming",8,6,2,33.3,135,103,1.31,0.89,,"5.9%",,,,"63%","50%",,,"63%","50%","63%","66%",,,"75%","50.3%","53.3%",3.43,1.51,1.6
