teamA;teamB;winA
Austrian Force Willhaben;Eintracht Frankfurt;0
TeamOrangeGaming;Kaufland Hangry Knights;0
Unicorns of Love Sexy Edition;Berlin International Gaming;0
Berlin International Gaming;CGN Esports;0
TeamOrangeGaming;ROSSMANN Centaurs;1
Kaufland Hangry Knights;Eintracht Frankfurt;1
Eintracht Spandau;Austrian Force Willhaben;1
Unicorns of Love Sexy Edition;E WIE EINFACH E-SPORTS;0
E WIE EINFACH E-SPORTS;CGN Esports;0
Unicorns of Love Sexy Edition;Austrian Force Willhaben;1
Berlin International Gaming;TeamOrangeGaming;1
Eintracht Frankfurt;Eintracht Spandau;1
Kaufland Hangry Knights;ROSSMANN Centaurs;1
Kaufland Hangry Knights;Berlin International Gaming;0
ROSSMANN Centaurs;Eintracht Frankfurt;1
Unicorns of Love Sexy Edition;Eintracht Spandau;1
Austrian Force Willhaben;CGN Esports;0
TeamOrangeGaming;E WIE EINFACH E-SPORTS;1
E WIE EINFACH E-SPORTS;Kaufland Hangry Knights;0
Berlin International Gaming;ROSSMANN Centaurs;1
CGN Esports;Eintracht Spandau;1
Austrian Force Willhaben;TeamOrangeGaming;1
Eintracht Frankfurt;Unicorns of Love Sexy Edition;0
Kaufland Hangry Knights;Austrian Force Willhaben;1
ROSSMANN Centaurs;E WIE EINFACH E-SPORTS;0
TeamOrangeGaming;Eintracht Spandau;1
Unicorns of Love Sexy Edition;CGN Esports;1
Berlin International Gaming;Eintracht Frankfurt;1
Unicorns of Love Sexy Edition;TeamOrangeGaming;0
Austrian Force Willhaben;ROSSMANN Centaurs;1
Eintracht Frankfurt;CGN Esports;0
E WIE EINFACH E-SPORTS;Berlin International Gaming;0
Eintracht Spandau;Kaufland Hangry Knights;1
Kaufland Hangry Knights;Unicorns of Love Sexy Edition;1
ROSSMANN Centaurs;Eintracht Spandau;1
E WIE EINFACH E-SPORTS;Eintracht Frankfurt;1
Berlin International Gaming;Austrian Force Willhaben;0
TeamOrangeGaming;CGN Esports;0
Kaufland Hangry Knights;CGN Esports;0
Unicorns of Love Sexy Edition;ROSSMANN Centaurs;0
Eintracht Spandau;Berlin International Gaming;0
Eintracht Frankfurt;TeamOrangeGaming;0
Austrian Force Willhaben;E WIE EINFACH E-SPORTS;0
Berlin International Gaming;CGN Esports;0
Kaufland Hangry Knights;ROSSMANN Centaurs;1
ROSSMANN Centaurs;Berlin International Gaming;0
Kaufland Hangry Knights;CGN Esports;0
TeamOrangeGaming;ROSSMANN Centaurs;0
Kaufland Hangry Knights;E WIE EINFACH E-SPORTS;1
