Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Music; IL;22;45.5%;4.0;3.2;2.8;7.8;7.0;372;71.9%;18.6;472;1.37;0.29;0.31;0.24;155;5;155;36.4%;9.1%;0;-
Mutton; JP;2;0%;0.7;2.0;5.5;2.0;5.8;323;47.2%;13.3;320;0.95;0.12;0.31;0.19;-440;-14;-718;0%;0%;0;-
Mxe; TR;38;52.6%;2.7;0.5;4.3;11.2;1.0;250;66.9%;7.2;202;3.34;1.73;0.38;0.58;-82;1;65;5.3%;21.1%;0;-
Myrtus; FR;11;9.1%;1.8;0.3;5.2;9.0;1.2;233;83.2%;6.5;163;3.82;1.79;0.57;0.49;1;3;-189;18.2%;0%;0;-
Myrwn; ES;48;54.2%;2.9;2.7;2.6;4.9;8.0;379;52.7%;24.2;578;1.1;0.38;0.22;0.14;10;1;40;10.4%;10.4%;0;13
Mysterias; NL;1;0%;1.5;0.0;2.0;3.0;9.3;405;33.3%;26.1;701;0.59;0.24;0.1;0.0;670;14;496;0%;0%;0;-
Naak Nako; TR;21;42.9%;2.2;3.2;3.8;5.2;8.0;403;51.9%;25.5;663;0.93;0.38;0.17;0.18;13;-4;-29;9.5%;4.8%;0;12
Nafkelah; ME;27;70.4%;8.1;5.7;1.7;7.8;8.6;446;71.9%;30.6;853;0.95;0.43;0.16;0.16;572;6;301;48.1%;0%;0;11
NaiNa; JP;12;41.7%;3.4;4.5;3.8;8.3;8.0;398;67.8%;26.5;707;0.83;0.36;0.17;0.1;-577;-11;-537;8.3%;0%;0;2
Naitz; CL;17;52.9%;2.9;2.9;2.8;5.4;8.8;403;58.6%;25.7;711;0.97;0.41;0.24;0.11;-185;-3;16;11.8%;17.6%;0;2
Namgung; KR;44;50%;2.9;0.7;3.9;10.3;1.1;253;76.1%;9.3;258;3.75;2.04;0.49;0.56;-26;-1;-1;27.3%;6.8%;0;2
Nanaue; VN;35;57.1%;3.1;4.4;3.2;5.5;8.6;425;50.6%;25.2;717;1.01;0.45;0.18;0.14;64;5;44;14.3%;11.4%;0;21
Nangning;;5;20%;2.9;3.8;3.2;5.6;7.0;362;64.8%;28.7;598;0.86;0.39;0.18;0.25;388;-3;200;20%;0%;0;5
Nannini; VE;4;0%;1.5;0.8;2.8;3.5;9.0;372;60.8%;28.4;585;0.82;0.33;0.15;0.0;-370;4;-172;25%;0%;0;-
Nano; AT;24;37.5%;3.1;3.4;3.3;6.9;8.7;405;66.6%;26.6;749;0.9;0.38;0.13;0.16;-469;-7;-401;20.8%;16.7%;0;6
Naros; VE;2;100%;8.0;11.5;2.5;8.5;8.5;512;83.3%;30.3;966;0.81;0.37;0.16;0.1;2477;41;528;50%;0%;0;-
Nash; NO;24;62.5%;3.9;1.0;3.3;11.7;1.0;250;64.5%;6.0;178;3.36;1.68;0.36;0.36;26;-2;-216;33.3%;4.2%;0;-
Nasser; ES;3;33.3%;2.8;4.3;3.7;6.0;5.6;348;67.8%;19.4;490;1.31;0.27;0.28;0.21;-188;2;-103;0%;0%;0;-
Nata; DK;18;44.4%;4.1;5.4;2.8;6.1;8.9;426;63.1%;28.5;775;0.96;0.39;0.26;0.07;-28;2;268;22.2%;16.7%;0;2
NattyNatt; SE;18;44.4%;3.3;3.1;3.9;9.8;5.8;353;72.9%;17.7;472;1.21;0.21;0.29;0.13;82;4;161;22.2%;22.2%;0;1
Naviah; VN;35;48.6%;3.7;4.6;3.0;6.5;8.6;430;65.9%;29.7;845;1.03;0.48;0.16;0.18;261;2;199;28.6%;8.6%;0;20
Nawa; TR;22;50%;5.8;5.1;1.9;5.9;8.8;427;74.2%;26.8;678;1.01;0.37;0.27;0.1;48;-1;77;31.8%;9.1%;0;1
Nawaf; SA;15;26.7%;2.5;4.3;4.0;5.7;8.3;396;60.4%;22.9;651;0.86;0.37;0.21;0.09;-526;-6;-82;20%;13.3%;0;2
Nekro; DE;2;0%;1.1;2.5;7.0;5.0;5.8;350;68.2%;19.6;386;0.97;0.14;0.27;0.06;-1208;-16;-464;0%;0%;0;1
Nemesis; SI;41;82.9%;5.4;4.6;2.4;8.4;8.9;453;67.2%;25.7;756;0.83;0.21;0.23;0.06;309;6;111;9.8%;7.3%;1;18
Nenad; RS;26;69.2%;3.2;4.3;2.6;3.8;8.6;437;44.6%;23.4;648;0.6;0.23;0.11;0.03;692;11;516;7.7%;7.7%;0;25
Neo; VN;10;30%;2.7;5.1;4.5;7.0;9.2;456;69.8%;29.7;790;1.08;0.43;0.28;0.1;-392;-7;-872;20%;0%;0;2
Neon; SK;33;66.7%;4.0;5.3;3.2;7.7;9.0;450;63.6%;25.4;754;0.94;0.35;0.26;0.1;256;5;106;30.3%;12.1%;0;7
Neramin; TR;17;17.6%;3.2;6.4;3.4;4.2;9.0;457;70.5%;25.8;634;0.5;0.21;0.13;0.01;-514;-12;-508;29.4%;0%;0;8
Nesty; JP;24;66.7%;3.6;5.8;4.5;10.2;6.8;408;74.6%;19.5;624;1.03;0.18;0.25;0.14;245;3;166;45.8%;4.2%;0;7
Netuno; BR;8;37.5%;7.3;4.8;1.5;6.3;9.5;438;71.3%;26.5;650;1.03;0.35;0.26;0.04;-82;-6;-125;12.5%;0%;0;1
Niceguyben; DE;33;48.5%;1.8;2.0;4.0;5.0;8.5;394;38.1%;20.4;574;0.66;0.29;0.11;0.04;-320;-2;-229;6.1%;6.1%;0;9
NightSlayer; UA;24;37.5%;2.5;3.4;3.5;5.3;7.7;382;54.2%;22.9;657;0.78;0.28;0.12;0.13;-132;-8;-63;4.2%;12.5%;0;13
Nightmares; NL;3;66.7%;9.1;0.3;2.3;21.0;0.7;261;78.2%;7.4;269;2.87;1.42;0.23;0.27;-134;-6;548;66.7%;33.3%;0;-
