Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Yohan; KR;5;40%;2.1;3.4;3.8;4.6;6.3;369;72.9%;18.1;448;1.36;0.21;0.42;0.16;-204;0;-350;0%;20%;0;1
Yuuji; MN;5;60%;4.4;3.0;2.6;8.4;6.5;367;71.7%;14.9;405;1.44;0.27;0.34;0.23;-57;-1;-144;0%;0%;0;1
Zdz; CN;10;100%;8.0;3.5;1.4;7.7;8.8;425;60%;21.8;568;1.17;0.43;0.22;0.17;255;-;-;-;-;-;-
Zeka; KR;13;53.8%;3.6;3.4;3.1;7.8;8.2;406;71%;25.7;738;1.15;0.49;0.24;0.21;-137;-3;-252;23.1%;15.4%;0;2
Zeus; KR;13;53.8%;3.4;3.3;3.0;6.8;8.0;401;62.5%;22.2;632;0.98;0.39;0.15;0.16;238;6;164;15.4%;15.4%;0;-
Zhuo; CN;12;16.7%;2.3;0.4;3.6;7.7;1.3;227;84.3%;7.9;180;4.13;2.1;0.56;0.55;87;-;-;-;-;-;-
Zika; CN;12;16.7%;2.1;2.2;2.8;3.5;8.4;380;58.3%;24.0;548;0.93;0.33;0.18;0.15;545;-;-;-;-;-;-
Zven; DK;6;66.7%;5.6;3.8;2.2;8.3;9.4;450;71%;30.5;941;1.19;0.41;0.36;0.1;282;9;236;33.3%;16.7%;0;1
deokdam; KR;8;25%;3.3;4.3;3.6;7.9;8.5;425;85.2%;31.2;810;1.07;0.44;0.26;0.15;-246;-16;-477;25%;25%;0;1
eXyu; US;5;20%;1.6;2.4;4.0;4.0;5.8;319;65.5%;12.0;270;1.42;0.31;0.31;0.26;-14;-12;-336;20%;0%;0;-
fishone; CN;5;20%;2.7;1.8;3.0;6.2;8.2;374;69.5%;22.8;528;0.83;0.32;0.23;0.12;-472;-;-;-;-;-;-
iyy; CN;9;33.3%;2.1;2.1;4.2;6.9;6.0;338;86.4%;15.7;368;1.53;0.37;0.35;0.33;-289;-;-;-;-;-;-
jojopyun; CA;6;50%;2.6;3.2;3.7;6.3;8.9;415;70.4%;26.5;618;1.24;0.44;0.24;0.15;-168;-2;33;0%;50%;0;2
kingen; KR;8;0%;1.1;1.8;4.4;3.0;7.4;354;50.1%;25.5;598;0.85;0.33;0.13;0.14;48;0;297;12.5%;12.5%;0;1
meiko; CN;11;63.6%;4.3;0.8;3.5;14.4;1.0;258;76.2%;5.7;184;3.82;1.91;0.45;0.5;-80;-;-;-;-;-;-
milkyway; CN;5;20%;2.0;2.0;3.8;5.6;6.7;347;73.5%;16.0;352;1.42;0.27;0.38;0.22;-15;-;-;-;-;-;-
naiyou; CN;10;60%;4.9;3.2;2.2;7.5;6.9;373;82.3%;15.6;359;1.96;0.41;0.48;0.29;168;-;-;-;-;-;-
nuc; FR;2;100%;5.4;4.0;2.5;9.5;8.9;435;64.7%;20.8;560;1.1;0.31;0.33;0.14;-66;-17;-298;0%;50%;0;1
sasi; CN;13;53.8%;3.2;3.2;2.5;4.8;8.2;396;59.8%;23.1;556;0.8;0.31;0.13;0.09;-128;-;-;-;-;-;-
sheer; CN;14;28.6%;1.8;1.8;3.6;4.6;7.3;340;56.7%;20.4;487;0.91;0.41;0.1;0.15;-449;-;-;-;-;-;-
xiaofang; CN;12;16.7%;1.9;2.8;4.0;4.9;6.5;352;69.6%;16.2;377;1.37;0.29;0.3;0.26;76;-;-;-;-;-;-
xiaohu; CN;16;43.8%;5.3;3.3;1.9;6.9;8.2;394;69.7%;28.5;799;1.22;0.34;0.3;0.15;102;-;-;-;-;-;-
xqw; CN;13;53.8%;3.0;2.9;3.2;6.5;8.2;394;69.5%;26.2;621;1.03;0.32;0.27;0.13;-61;-;-;-;-;-;-
