tournament;match_id;game_in_series;teamA;teamB;win;date
LPL 2025 Split 2;75;2;TT;Ninjas in Pyjamas;1;2025-04-18
LPL 2025 Split 2;76;1;Weibo Gaming;Ninjas in Pyjamas;1;2025-04-17
LPL 2025 Split 2;76;2;Weibo Gaming;Ninjas in Pyjamas;0;2025-04-17
LPL 2025 Split 2;76;3;Weibo Gaming;Ninjas in Pyjamas;1;2025-04-17
LPL 2025 Split 2;77;1;Team WE;Bilibili Gaming;1;2025-04-17
LPL 2025 Split 2;77;2;Team WE;Bilibili Gaming;0;2025-04-17
LPL 2025 Split 2;78;1;Top Esports;Team WE;1;2025-04-16
LPL 2025 Split 2;78;2;Top Esports;Team WE;1;2025-04-16
LPL 2025 Split 2;79;1;LGD Gaming;LNG Esports;1;2025-04-16
LPL 2025 Split 2;79;2;LGD Gaming;LNG Esports;1;2025-04-16
LPL 2025 Split 2;80;1;Invictus Gaming;Ninjas in Pyjamas;1;2025-04-15
LPL 2025 Split 2;80;2;Invictus Gaming;Ninjas in Pyjamas;0;2025-04-15
LPL 2025 Split 2;80;3;Invictus Gaming;Ninjas in Pyjamas;0;2025-04-15
LPL 2025 Split 2;81;1;TT;Anyone s Legend;0;2025-04-15
LPL 2025 Split 2;82;1;JD Gaming;Funplus Phoenix;1;2025-04-14
LPL 2025 Split 2;82;2;JD Gaming;Funplus Phoenix;0;2025-04-14
LPL 2025 Split 2;83;1;Ultra Prime;Royal Never Give Up;1;2025-04-14
LPL 2025 Split 2;83;2;Ultra Prime;Royal Never Give Up;1;2025-04-14
LPL 2025 Split 2;84;1;Anyone s Legend;Weibo Gaming;1;2025-04-13
LPL 2025 Split 2;84;2;Anyone s Legend;Weibo Gaming;1;2025-04-13
LPL 2025 Split 2;85;1;Top Esports;TT;1;2025-04-13
LPL 2025 Split 2;85;2;Top Esports;TT;1;2025-04-13
LPL 2025 Split 2;86;1;Ninjas in Pyjamas;Team WE;1;2025-04-13
LPL 2025 Split 2;86;2;Ninjas in Pyjamas;Team WE;1;2025-04-13
LPL 2025 Split 2;87;1;Bilibili Gaming;JD Gaming;0;2025-04-12
LPL 2025 Split 2;88;1;Invictus Gaming;TT;1;2025-04-12
LPL 2025 Split 2;88;2;Invictus Gaming;TT;0;2025-04-12
LPL 2025 Split 2;88;3;Invictus Gaming;TT;1;2025-04-12
LPL 2025 Split 2;89;1;Funplus Phoenix;Weibo Gaming;1;2025-04-12
LPL 2025 Split 2;89;2;Funplus Phoenix;Weibo Gaming;1;2025-04-12
LPL 2025 Split 2;90;1;Invictus Gaming;Top Esports;1;2025-04-11
LPL 2025 Split 2;90;2;Invictus Gaming;Top Esports;0;2025-04-11
LPL 2025 Split 2;90;3;Invictus Gaming;Top Esports;1;2025-04-11
LPL 2025 Split 2;91;1;Anyone s Legend;Funplus Phoenix;1;2025-04-11
LPL 2025 Split 2;91;2;Anyone s Legend;Funplus Phoenix;1;2025-04-11
LPL 2025 Split 2;92;1;Bilibili Gaming;Anyone s Legend;1;2025-04-10
LPL 2025 Split 2;92;2;Bilibili Gaming;Anyone s Legend;0;2025-04-10
LPL 2025 Split 2;93;1;TT;Weibo Gaming;0;2025-04-10
LPL 2025 Split 2;94;1;JD Gaming;Team WE;1;2025-04-09
LPL 2025 Split 2;94;2;JD Gaming;Team WE;1;2025-04-09
LPL 2025 Split 2;95;1;LGD Gaming;OMG;1;2025-04-09
LPL 2025 Split 2;95;2;LGD Gaming;OMG;1;2025-04-09
LPL 2025 Split 2;96;1;Anyone s Legend;Invictus Gaming;1;2025-04-08
LPL 2025 Split 2;96;2;Anyone s Legend;Invictus Gaming;1;2025-04-08
LPL 2025 Split 2;97;1;Funplus Phoenix;Top Esports;0;2025-04-08
LPL 2025 Split 2;98;1;Top Esports;Weibo Gaming;1;2025-04-07
LPL 2025 Split 2;98;2;Top Esports;Weibo Gaming;0;2025-04-07
LPL 2025 Split 2;98;3;Top Esports;Weibo Gaming;1;2025-04-07
LPL 2025 Split 2;99;1;Edward Gaming;LNG Esports;1;2025-04-07
LPL 2025 Split 2;99;2;Edward Gaming;LNG Esports;0;2025-04-07
LPL 2025 Split 2;99;3;Edward Gaming;LNG Esports;1;2025-04-07
LPL 2025 Split 2;100;1;Bilibili Gaming;Invictus Gaming;1;2025-04-06
LPL 2025 Split 2;100;2;Bilibili Gaming;Invictus Gaming;1;2025-04-06
LPL 2025 Split 2;101;1;TT;Funplus Phoenix;1;2025-04-06
LPL 2025 Split 2;101;2;TT;Funplus Phoenix;0;2025-04-06
LPL 2025 Split 2;101;3;TT;Funplus Phoenix;1;2025-04-06
LPL 2025 Split 2;102;1;JD Gaming;Ninjas in Pyjamas;1;2025-04-06
LPL 2025 Split 2;102;2;JD Gaming;Ninjas in Pyjamas;1;2025-04-06
LPL 2025 Split 2;103;1;Anyone s Legend;Top Esports;1;2025-04-05
LPL 2025 Split 2;103;2;Anyone s Legend;Top Esports;0;2025-04-05
LPL 2025 Split 2;103;3;Anyone s Legend;Top Esports;0;2025-04-05
LPL 2025 Split 2;104;1;TT;Bilibili Gaming;0;2025-04-05
LPL 2025 Split 2;105;1;Funplus Phoenix;Invictus Gaming;1;2025-04-05
LPL 2025 Split 2;105;2;Funplus Phoenix;Invictus Gaming;0;2025-04-05
LPL 2025 Split 2;105;3;Funplus Phoenix;Invictus Gaming;0;2025-04-05
LPL 2025 Split 2 Playoffs;1;1;Anyone s Legend;Bilibili Gaming;1;2025-06-14
LPL 2025 Split 2 Playoffs;1;2;Anyone s Legend;Bilibili Gaming;1;2025-06-14
LPL 2025 Split 2 Playoffs;1;3;Anyone s Legend;Bilibili Gaming;0;2025-06-14
LPL 2025 Split 2 Playoffs;1;4;Anyone s Legend;Bilibili Gaming;1;2025-06-14
LPL 2025 Split 2 Playoffs;2;1;Bilibili Gaming;Invictus Gaming;1;2025-06-13
LPL 2025 Split 2 Playoffs;2;2;Bilibili Gaming;Invictus Gaming;1;2025-06-13
LPL 2025 Split 2 Playoffs;2;3;Bilibili Gaming;Invictus Gaming;1;2025-06-13
LPL 2025 Split 2 Playoffs;3;1;Team WE;Invictus Gaming;0;2025-06-11
LPL 2025 Split 2 Playoffs;4;1;Anyone s Legend;Bilibili Gaming;1;2025-06-09
LPL 2025 Split 2 Playoffs;4;2;Anyone s Legend;Bilibili Gaming;0;2025-06-09
LPL 2025 Split 2 Playoffs;4;3;Anyone s Legend;Bilibili Gaming;1;2025-06-09
LPL 2025 Split 2 Playoffs;4;4;Anyone s Legend;Bilibili Gaming;0;2025-06-09
LPL 2025 Split 2 Playoffs;4;5;Anyone s Legend;Bilibili Gaming;1;2025-06-09
LPL 2025 Split 2 Playoffs;5;1;Top Esports;Team WE;1;2025-06-08
LPL 2025 Split 2 Playoffs;5;2;Top Esports;Team WE;0;2025-06-08
LPL 2025 Split 2 Playoffs;5;3;Top Esports;Team WE;1;2025-06-08
LPL 2025 Split 2 Playoffs;5;4;Top Esports;Team WE;0;2025-06-08
LPL 2025 Split 2 Playoffs;5;5;Top Esports;Team WE;0;2025-06-08
LPL 2025 Split 2 Playoffs;6;1;Weibo Gaming;Invictus Gaming;1;2025-06-07
LPL 2025 Split 2 Playoffs;6;2;Weibo Gaming;Invictus Gaming;0;2025-06-07
LPL 2025 Split 2 Playoffs;6;3;Weibo Gaming;Invictus Gaming;0;2025-06-07
LPL 2025 Split 2 Playoffs;6;4;Weibo Gaming;Invictus Gaming;0;2025-06-07
LPL 2025 Split 2 Playoffs;7;1;Team WE;JD Gaming;1;2025-06-05
LPL 2025 Split 2 Playoffs;7;2;Team WE;JD Gaming;0;2025-06-05
LPL 2025 Split 2 Playoffs;7;3;Team WE;JD Gaming;1;2025-06-05
LPL 2025 Split 2 Playoffs;7;4;Team WE;JD Gaming;1;2025-06-05
LPL 2025 Split 2 Playoffs;8;1;Funplus Phoenix;Invictus Gaming;1;2025-06-04
LPL 2025 Split 2 Playoffs;8;2;Funplus Phoenix;Invictus Gaming;0;2025-06-04
LPL 2025 Split 2 Playoffs;8;3;Funplus Phoenix;Invictus Gaming;1;2025-06-04
LPL 2025 Split 2 Playoffs;8;4;Funplus Phoenix;Invictus Gaming;0;2025-06-04
LPL 2025 Split 2 Playoffs;9;1;Anyone s Legend;Weibo Gaming;1;2025-06-03
LPL 2025 Split 2 Playoffs;9;2;Anyone s Legend;Weibo Gaming;0;2025-06-03
LPL 2025 Split 2 Playoffs;9;3;Anyone s Legend;Weibo Gaming;1;2025-06-03
LPL 2025 Split 2 Playoffs;9;4;Anyone s Legend;Weibo Gaming;1;2025-06-03
LPL 2025 Split 2 Playoffs;10;1;Top Esports;Bilibili Gaming;0;2025-06-02
LPL 2025 Split 2 Playoffs;11;1;JD Gaming;Weibo Gaming;1;2025-06-01
LPL 2025 Split 2 Playoffs;11;2;JD Gaming;Weibo Gaming;0;2025-06-01
LPL 2025 Split 2 Playoffs;11;3;JD Gaming;Weibo Gaming;1;2025-06-01
LPL 2025 Split 2 Playoffs;11;4;JD Gaming;Weibo Gaming;0;2025-06-01
