tournament;match_id;game_in_series;teamA;teamB;win;date
LCK Cup 2025;33;1;Nongshim RedForce;OK BRION;1;2025-01-17
LCK Cup 2025;33;2;Nongshim RedForce;OK BRION;1;2025-01-17
LCK Cup 2025;34;1;Gen.G eSports;Hanwha Life eSports;1;2025-01-17
LCK Cup 2025;34;2;Gen.G eSports;Hanwha Life eSports;1;2025-01-17
LCK Cup 2025;35;1;Dplus KIA;T1;1;2025-01-16
LCK Cup 2025;35;2;Dplus KIA;T1;0;2025-01-16
LCK Cup 2025;35;3;Dplus KIA;T1;1;2025-01-16
LCK Cup 2025;36;1;BNK FearX;KT Rolster;1;2025-01-16
LCK Cup 2025;36;2;BNK FearX;KT Rolster;0;2025-01-16
LCK Cup 2025;37;1;DN Freecs;Nongshim RedForce;1;2025-01-15
LCK Cup 2025;37;2;DN Freecs;Nongshim RedForce;0;2025-01-15
LCK Cup 2025;37;3;DN Freecs;Nongshim RedForce;1;2025-01-15
LCK Cup 2025;38;1;OK BRION;DRX;1;2025-01-15
LCK Cup 2025;38;2;OK BRION;DRX;0;2025-01-15
LCK Cup 2025;38;3;OK BRION;DRX;0;2025-01-15
LTA North 2025 Split 1;1;1;Team Liquid;FlyQuest;0;2025-02-09
LTA North 2025 Split 1;2;1;Dignitas;FlyQuest;0;2025-02-09
LTA North 2025 Split 1;3;1;Team Liquid;Shopify Rebellion;1;2025-02-09
LTA North 2025 Split 1;3;2;Team Liquid;Shopify Rebellion;1;2025-02-09
LTA North 2025 Split 1;4;1;100 Thieves;Cloud9;1;2025-02-02
LTA North 2025 Split 1;5;1;FlyQuest;Cloud9;1;2025-02-02
LTA North 2025 Split 1;5;2;FlyQuest;Cloud9;0;2025-02-02
LTA North 2025 Split 1;5;3;FlyQuest;Cloud9;0;2025-02-02
LTA North 2025 Split 1;6;1;Team Liquid;100 Thieves;1;2025-02-02
LTA North 2025 Split 1;6;2;Team Liquid;100 Thieves;0;2025-02-02
LTA North 2025 Split 1;7;1;LYON;Shopify Rebellion;1;2025-02-01
LTA North 2025 Split 1;7;2;LYON;Shopify Rebellion;0;2025-02-01
LTA North 2025 Split 1;7;3;LYON;Shopify Rebellion;0;2025-02-01
LTA North 2025 Split 1;8;1;Disguised;Dignitas;1;2025-02-01
LTA North 2025 Split 1;8;2;Disguised;Dignitas;0;2025-02-01
LTA North 2025 Split 1;8;3;Disguised;Dignitas;0;2025-02-01
LTA North 2025 Split 1;9;1;Dignitas;Team Liquid;0;2025-01-26
LTA North 2025 Split 1;10;1;Disguised;100 Thieves;0;2025-01-26
LTA North 2025 Split 1;11;1;LYON;Cloud9;0;2025-01-25
LTA North 2025 Split 1;12;1;Shopify Rebellion;FlyQuest;0;2025-01-25
LTA South 2025 Split 1;1;1;LOUD;paiN Gaming;1;2025-02-09
LTA South 2025 Split 1;2;1;paiN Gaming;FURIA;1;2025-02-09
LTA South 2025 Split 1;2;2;paiN Gaming;FURIA;1;2025-02-09
LTA South 2025 Split 1;3;1;RED Canids;LOUD;1;2025-02-09
LTA South 2025 Split 1;3;2;RED Canids;LOUD;0;2025-02-09
LTA South 2025 Split 1;3;3;RED Canids;LOUD;0;2025-02-09
LTA South 2025 Split 1;4;1;Leviatan;Isurus;0;2025-02-02
LTA South 2025 Split 1;5;1;paiN Gaming;Leviatan;1;2025-02-02
LTA South 2025 Split 1;5;2;paiN Gaming;Leviatan;0;2025-02-02
LTA South 2025 Split 1;6;1;Isurus;RED Canids;1;2025-02-02
LTA South 2025 Split 1;6;2;Isurus;RED Canids;1;2025-02-02
LTA South 2025 Split 1;7;1;Fluxo;FURIA;0;2025-02-01
LTA South 2025 Split 1;8;1;LOUD;Vivo Keyd Stars;1;2025-02-01
LTA South 2025 Split 1;8;2;LOUD;Vivo Keyd Stars;1;2025-02-01
LTA South 2025 Split 1;9;1;RED Canids;Fluxo;1;2025-01-26
LTA South 2025 Split 1;9;2;RED Canids;Fluxo;1;2025-01-26
LTA South 2025 Split 1;10;1;Isurus;FURIA;1;2025-01-26
LTA South 2025 Split 1;10;2;Isurus;FURIA;0;2025-01-26
LTA South 2025 Split 1;10;3;Isurus;FURIA;1;2025-01-26
LTA South 2025 Split 1;11;1;Vivo Keyd Stars;Leviatan;1;2025-01-25
LTA South 2025 Split 1;11;2;Vivo Keyd Stars;Leviatan;0;2025-01-25
LTA South 2025 Split 1;12;1;LOUD;paiN Gaming;1;2025-01-25
LTA South 2025 Split 1;12;2;LOUD;paiN Gaming;0;2025-01-25
LTA South 2025 Split 1;12;3;LOUD;paiN Gaming;0;2025-01-25
LCP 2025 Season Kickoff;1;1;PSG Talon;MGN Vikings Esports;1;2025-02-16
LCP 2025 Season Kickoff;1;2;PSG Talon;MGN Vikings Esports;0;2025-02-16
LCP 2025 Season Kickoff;1;3;PSG Talon;MGN Vikings Esports;1;2025-02-16
LCP 2025 Season Kickoff;2;1;CTBC Flying Oyster;Chiefs Esports Club;1;2025-02-16
LCP 2025 Season Kickoff;2;2;CTBC Flying Oyster;Chiefs Esports Club;1;2025-02-16
LCP 2025 Season Kickoff;3;1;Team Secret Whales;GAM Esports;1;2025-02-15
LCP 2025 Season Kickoff;3;2;Team Secret Whales;GAM Esports;1;2025-02-15
LCP 2025 Season Kickoff;4;1;DetonatioN FocusMe;Fukuoka SoftBank HAWKS gaming;0;2025-02-15
LCP 2025 Season Kickoff;5;1;CTBC Flying Oyster;PSG Talon;1;2025-02-14
LCP 2025 Season Kickoff;5;2;CTBC Flying Oyster;PSG Talon;0;2025-02-14
LCP 2025 Season Kickoff;5;3;CTBC Flying Oyster;PSG Talon;1;2025-02-14
LCP 2025 Season Kickoff;6;1;Chiefs Esports Club;MGN Vikings Esports;0;2025-02-14
LCP 2025 Season Kickoff;7;1;GAM Esports;DetonatioN FocusMe;1;2025-02-13
LCP 2025 Season Kickoff;7;2;GAM Esports;DetonatioN FocusMe;1;2025-02-13
LCP 2025 Season Kickoff;8;1;Fukuoka SoftBank HAWKS gaming;Team Secret Whales;0;2025-02-13
LCP 2025 Season Kickoff;9;1;PSG Talon;GAM Esports;1;2025-02-09
LCP 2025 Season Kickoff;9;2;PSG Talon;GAM Esports;0;2025-02-09
LCP 2025 Season Kickoff;9;3;PSG Talon;GAM Esports;1;2025-02-09
LCP 2025 Season Kickoff;10;1;Chiefs Esports Club;Fukuoka SoftBank HAWKS gaming;0;2025-02-09
