tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LEC 2025 Winter;2025-01-26;Movistar KOI;5;34.7;1.33;0.77;0.82;0.071;63.6;16.4;1095.0;0.6;1.0;0.8;4.4;1.0;0.7;0.6;0.67;;0.8;0.83;0.491;0.556;3.44;1.48;2.02;0.8
LEC 2025 Winter;2025-01-26;Rogue;5;40.2;0.67;0.74;-0.71;-0.04;45.9;-25.9;-704.0;0.6;0.4;0.4;4.2;0.4;0.57;0.4;0.41;0.25;0.4;0.56;0.486;0.449;3.7;1.22;1.54;0.2
LEC 2025 Winter;2025-01-26;SK Gaming;5;29.9;0.4;0.79;-0.77;-0.1;47.4;-47.4;188.0;0.6;0.6;0.6;6.8;0.6;0.5;0.6;0.4;;0.0;0.0;0.493;0.48700000000000004;3.03;1.12;1.25;0.0
LEC 2025 Winter;2025-01-26;Team BDS;5;34.4;0.86;0.75;-0.42;-0.061;38.3;1.7;-986.0;0.6;0.4;0.4;3.2;0.6;0.57;0.4;0.5;;0.4;0.4;0.504;0.44799999999999995;3.25;1.24;1.62;0.4
LEC 2025 Winter;2025-01-26;Team Heretics;5;33.5;0.75;0.68;-0.74;-0.062;37.8;2.2;-949.0;0.6;0.2;0.4;1.2;0.6;0.4;0.2;0.38;;0.4;0.5;0.494;0.486;3.43;1.24;1.56;0.4
LEC 2025 Winter;2025-01-26;Team Vitality;5;35.5;0.79;0.82;-1.04;-0.021;34.1;5.9;-1486.0;0.4;0.6;0.2;3.0;0.6;0.43;0.6;0.54;1.0;0.6;0.43;0.495;0.465;3.36;1.27;1.42;0.4
LEC 2025 Winter;2025-01-27;Fnatic;6;32.1;1.48;0.81;0.95;0.057999999999999996;56.3;27.0;913.0;0.33;0.5;0.33;5.8;0.17;0.53;0.33;0.52;;0.5;0.57;0.512;0.57;3.28;0.9;1.4;0.8333333333333334
LEC 2025 Winter;2025-01-27;G2 Esports;6;33.3;1.18;0.8;1.04;0.065;70.3;-20.3;1412.0;0.33;0.5;0.83;6.5;0.5;0.5;0.67;0.54;0.0;0.33;0.5;0.496;0.5379999999999999;2.9;1.03;1.43;0.5
LEC 2025 Winter;2025-01-27;GiantX;6;37.8;1.33;0.72;0.34;0.032;47.5;19.2;-476.0;0.67;0.33;0.33;3.5;0.17;0.39;0.5;0.48;0.75;0.83;0.64;0.513;0.48;3.28;1.17;1.65;0.6666666666666666
LEC 2025 Winter;2025-01-27;Karmine Corp;6;33.0;1.98;0.84;0.85;0.061;56.0;27.3;648.0;0.33;0.5;0.67;6.7;0.5;0.44;0.5;0.6;1.0;0.33;0.4;0.508;0.532;3.6;1.23;1.61;0.8333333333333334
LEC 2025 Winter;2025-01-27;Movistar KOI;6;33.5;1.6;0.75;1.03;0.079;67.2;16.2;1381.0;0.67;1.0;0.83;5.3;1.0;0.69;0.67;0.7;;0.83;0.86;0.494;0.557;3.43;1.5;1.92;0.8333333333333334
LEC 2025 Winter;2025-01-27;Rogue;6;39.3;0.63;0.74;-0.76;-0.052000000000000005;46.5;-29.8;-712.0;0.5;0.33;0.5;4.5;0.5;0.56;0.5;0.42;0.25;0.33;0.5;0.48700000000000004;0.457;3.61;1.21;1.5;0.16666666666666666
LEC 2025 Winter;2025-01-27;SK Gaming;6;29.6;0.34;0.77;-1.01;-0.102;42.0;-42.0;-311.0;0.5;0.5;0.5;6.7;0.5;0.47;0.5;0.35;;0.0;0.0;0.493;0.48;3.05;1.15;1.28;0.0
LEC 2025 Winter;2025-01-27;Team BDS;6;36.0;0.85;0.74;-0.3;-0.057999999999999996;43.3;-9.9;-584.0;0.67;0.5;0.5;3.0;0.67;0.56;0.5;0.48;;0.33;0.43;0.506;0.441;3.3;1.26;1.67;0.3333333333333333
LEC 2025 Winter;2025-01-27;Team Heretics;6;34.1;0.65;0.73;-1.34;-0.083;34.1;-0.8;-1157.0;0.5;0.17;0.33;2.2;0.5;0.42;0.33;0.37;;0.33;0.43;0.493;0.475;3.53;1.3;1.57;0.3333333333333333
LEC 2025 Winter;2025-01-27;Team Vitality;6;35.5;0.92;0.81;-0.7;0.001;36.8;13.2;-1113.0;0.5;0.67;0.17;3.7;0.5;0.44;0.5;0.53;1.0;0.67;0.5;0.49700000000000005;0.47200000000000003;3.34;1.25;1.42;0.5
LEC 2025 Winter;2025-02-01;Fnatic;7;31.6;1.54;0.87;1.16;0.073;59.7;26.0;1009.0;0.43;0.43;0.43;6.4;0.14;0.52;0.43;0.58;;0.57;0.63;0.514;0.573;3.2;0.88;1.41;0.8571428571428571
LEC 2025 Winter;2025-02-01;G2 Esports;7;33.1;1.21;0.77;1.06;0.062;64.6;-7.4;1129.0;0.43;0.43;0.86;6.3;0.57;0.45;0.71;0.55;0.0;0.43;0.56;0.498;0.546;2.89;1.01;1.44;0.5714285714285714
LEC 2025 Winter;2025-02-01;GiantX;7;36.5;1.13;0.78;0.02;0.003;43.5;13.6;-635.0;0.57;0.43;0.29;4.0;0.29;0.4;0.43;0.42;0.75;0.71;0.58;0.508;0.47;3.27;1.15;1.55;0.5714285714285714
LEC 2025 Winter;2025-02-01;Karmine Corp;7;33.9;1.89;0.85;0.5;0.06;49.7;36.1;-20.0;0.29;0.43;0.57;6.0;0.43;0.4;0.57;0.63;1.0;0.29;0.43;0.509;0.5379999999999999;3.63;1.24;1.67;0.8571428571428571
LEC 2025 Winter;2025-02-01;Movistar KOI;7;34.2;1.43;0.81;0.99;0.066;61.5;9.9;1133.0;0.71;1.0;0.86;4.9;1.0;0.69;0.57;0.69;;0.86;0.78;0.49200000000000005;0.544;3.42;1.5;1.92;0.7142857142857143
LEC 2025 Winter;2025-02-01;Rogue;7;38.3;0.63;0.73;-0.81;-0.051;49.9;-35.6;-530.0;0.43;0.43;0.43;4.1;0.43;0.6;0.43;0.42;0.25;0.29;0.45;0.488;0.449;3.6;1.2;1.44;0.14285714285714285
LEC 2025 Winter;2025-02-01;SK Gaming;7;29.5;0.35;0.79;-1.29;-0.111;37.4;-37.4;-759.0;0.57;0.43;0.43;6.0;0.43;0.48;0.57;0.33;;0.0;0.0;0.49200000000000005;0.465;3.08;1.18;1.25;0.0
LEC 2025 Winter;2025-02-01;Team BDS;7;35.0;0.99;0.76;0.09;-0.027000000000000003;49.9;-7.0;-8.0;0.57;0.57;0.57;3.3;0.71;0.55;0.43;0.51;;0.43;0.5;0.506;0.467;3.23;1.23;1.66;0.42857142857142855
LEC 2025 Winter;2025-02-01;Team Heretics;7;34.8;0.72;0.79;-1.25;-0.07;39.6;3.2;-942.0;0.43;0.14;0.29;2.4;0.43;0.4;0.43;0.37;;0.29;0.44;0.498;0.48200000000000004;3.49;1.29;1.56;0.42857142857142855
LEC 2025 Winter;2025-02-01;Team Vitality;7;36.0;0.87;0.82;-0.39;-0.006999999999999999;44.2;-1.4;-378.0;0.57;0.71;0.29;4.0;0.57;0.5;0.43;0.49;0.5;0.71;0.5;0.496;0.46399999999999997;3.38;1.3;1.45;0.42857142857142855
LEC 2025 Winter;2025-02-02;Fnatic;8;31.1;1.77;0.9;1.43;0.094;64.4;23.1;1467.0;0.5;0.5;0.5;6.1;0.25;0.46;0.5;0.63;;0.63;0.67;0.513;0.569;3.15;0.86;1.36;0.875
LEC 2025 Winter;2025-02-02;G2 Esports;8;32.7;1.36;0.81;1.14;0.06;61.2;1.3;964.0;0.5;0.38;0.75;6.4;0.5;0.52;0.63;0.57;0.0;0.5;0.6;0.498;0.542;2.9;1.03;1.45;0.625
LEC 2025 Winter;2025-02-02;GiantX;8;37.1;1.16;0.78;0.43;0.018000000000000002;48.0;14.5;-188.0;0.63;0.5;0.38;3.9;0.38;0.44;0.38;0.41;0.75;0.75;0.64;0.505;0.48;3.26;1.16;1.57;0.625
LEC 2025 Winter;2025-02-02;Karmine Corp;8;33.1;1.43;0.88;0.07;0.023;43.8;31.2;-602.0;0.25;0.38;0.5;5.5;0.38;0.48;0.5;0.56;1.0;0.25;0.38;0.506;0.529;3.53;1.21;1.59;0.75
LEC 2025 Winter;2025-02-02;Movistar KOI;8;33.6;1.18;0.84;0.69;0.052000000000000005;61.7;0.8;1016.0;0.63;1.0;0.88;4.8;1.0;0.6;0.63;0.64;;0.75;0.7;0.493;0.537;3.44;1.45;1.82;0.625
LEC 2025 Winter;2025-02-02;Rogue;8;37.4;0.59;0.71;-0.85;-0.049;47.3;-34.8;-595.0;0.5;0.38;0.38;4.1;0.38;0.6;0.38;0.38;0.25;0.25;0.42;0.49;0.44799999999999995;3.62;1.19;1.42;0.125
