tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
2025 Mid-Season Invitational;2025-07-05;FlyQuest;7;34.0;1.02;0.89;-0.06;-0.01;44.5;12.7;-434;0.29;0.43;0.43;2.1;0.29;0.43;0.43;0.47;1.0;0.43;0.5;0.49;0.499;3.59;1.11;1.37;0.5714285714285714
2025 Mid-Season Invitational;2025-07-05;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-05;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-05;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-05;Gen.G;9;30.2;1.17;0.85;0.61;0.033;57.0;9.7;460;0.78;0.56;0.67;2.7;0.44;0.56;0.33;0.62;0.0;0.56;0.71;0.511;0.5;3.5;1.26;1.56;0.6666666666666666
2025 Mid-Season Invitational;2025-07-05;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-05;T1;7;31.1;1.27;1.04;0.19;0.028999999999999998;48.7;22.7;312;0.29;0.71;0.57;5.9;0.43;0.29;0.57;0.55;;0.29;0.43;0.515;0.508;3.52;1.31;1.63;0.7142857142857143
2025 Mid-Season Invitational;2025-07-07;Anyone's Legend;9;31.3;1.11;0.92;0.45;0.016;58.7;-3.1;836;0.44;0.78;0.56;1.8;1.0;0.89;0.56;0.46;;0.56;0.6;0.502;0.528;3.55;1.32;1.7;0.5555555555555556
2025 Mid-Season Invitational;2025-07-07;Bilibili Gaming;13;32.6;1.4;0.88;1.08;0.027000000000000003;63.2;6.0;958;0.77;0.69;0.62;4.4;0.69;0.62;0.69;0.61;1.0;0.38;0.54;0.499;0.528;3.13;1.21;1.53;0.6923076923076923
2025 Mid-Season Invitational;2025-07-07;CTBC Flying Oyster;9;32.0;1.05;0.93;0.36;0.027999999999999997;52.9;2.6;-101;0.56;0.56;0.56;4.9;0.56;0.56;0.67;0.6;;0.78;0.8;0.48700000000000004;0.523;3.92;1.55;1.55;0.5555555555555556
2025 Mid-Season Invitational;2025-07-07;FlyQuest;7;34.0;1.02;0.89;-0.06;-0.01;44.5;12.7;-434;0.29;0.43;0.43;2.1;0.29;0.43;0.43;0.47;1.0;0.43;0.5;0.49;0.499;3.59;1.11;1.37;0.5714285714285714
2025 Mid-Season Invitational;2025-07-07;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-07;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-07;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-07;Gen.G;9;30.2;1.17;0.85;0.61;0.033;57.0;9.7;460;0.78;0.56;0.67;2.7;0.44;0.56;0.33;0.62;0.0;0.56;0.71;0.511;0.5;3.5;1.26;1.56;0.6666666666666666
2025 Mid-Season Invitational;2025-07-07;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-07;T1;8;31.4;1.29;1.02;0.19;0.035;49.0;26.0;242;0.25;0.75;0.63;5.6;0.38;0.38;0.63;0.6;;0.38;0.5;0.514;0.513;3.54;1.33;1.57;0.75
2025 Mid-Season Invitational;2025-07-08;Anyone's Legend;13;32.4;1.16;0.87;0.43;0.008;58.3;3.2;778;0.38;0.69;0.54;1.9;0.85;0.85;0.54;0.48;0.5;0.46;0.53;0.505;0.525;3.64;1.36;1.81;0.6153846153846154
2025 Mid-Season Invitational;2025-07-08;Bilibili Gaming;13;32.6;1.4;0.88;1.08;0.027000000000000003;63.2;6.0;958;0.77;0.69;0.62;4.4;0.69;0.62;0.69;0.61;1.0;0.38;0.54;0.499;0.528;3.13;1.21;1.53;0.6923076923076923
2025 Mid-Season Invitational;2025-07-08;CTBC Flying Oyster;13;32.9;0.96;0.87;0.11;0.022000000000000002;49.7;-3.5;-270;0.62;0.54;0.54;4.5;0.54;0.46;0.62;0.56;0.5;0.69;0.73;0.48700000000000004;0.51;3.92;1.6;1.65;0.46153846153846156
2025 Mid-Season Invitational;2025-07-08;FlyQuest;7;34.0;1.02;0.89;-0.06;-0.01;44.5;12.7;-434;0.29;0.43;0.43;2.1;0.29;0.43;0.43;0.47;1.0;0.43;0.5;0.49;0.499;3.59;1.11;1.37;0.5714285714285714
2025 Mid-Season Invitational;2025-07-08;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-08;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-08;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-08;Gen.G;9;30.2;1.17;0.85;0.61;0.033;57.0;9.7;460;0.78;0.56;0.67;2.7;0.44;0.56;0.33;0.62;0.0;0.56;0.71;0.511;0.5;3.5;1.26;1.56;0.6666666666666666
2025 Mid-Season Invitational;2025-07-08;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-08;T1;8;31.4;1.29;1.02;0.19;0.035;49.0;26.0;242;0.25;0.75;0.63;5.6;0.38;0.38;0.63;0.6;;0.38;0.5;0.514;0.513;3.54;1.33;1.57;0.75
2025 Mid-Season Invitational;2025-07-09;Anyone's Legend;13;32.4;1.16;0.87;0.43;0.008;58.3;3.2;778;0.38;0.69;0.54;1.9;0.85;0.85;0.54;0.48;0.5;0.46;0.53;0.505;0.525;3.64;1.36;1.81;0.6153846153846154
2025 Mid-Season Invitational;2025-07-09;Bilibili Gaming;18;32.6;1.29;0.93;1.06;0.031;62.2;4.4;985;0.72;0.61;0.61;4.4;0.67;0.65;0.67;0.61;1.0;0.44;0.53;0.504;0.529;3.16;1.22;1.57;0.6666666666666666
2025 Mid-Season Invitational;2025-07-09;CTBC Flying Oyster;13;32.9;0.96;0.87;0.11;0.022000000000000002;49.7;-3.5;-270;0.62;0.54;0.54;4.5;0.54;0.46;0.62;0.56;0.5;0.69;0.73;0.48700000000000004;0.51;3.92;1.6;1.65;0.46153846153846156
2025 Mid-Season Invitational;2025-07-09;FlyQuest;12;33.5;0.97;0.96;-0.45;-0.024;42.8;7.2;-694;0.33;0.5;0.42;2.3;0.33;0.36;0.42;0.43;1.0;0.42;0.5;0.488;0.48700000000000004;3.57;1.11;1.3;0.5
2025 Mid-Season Invitational;2025-07-09;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-09;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-09;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-09;Gen.G;9;30.2;1.17;0.85;0.61;0.033;57.0;9.7;460;0.78;0.56;0.67;2.7;0.44;0.56;0.33;0.62;0.0;0.56;0.71;0.511;0.5;3.5;1.26;1.56;0.6666666666666666
2025 Mid-Season Invitational;2025-07-09;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-09;T1;8;31.4;1.29;1.02;0.19;0.035;49.0;26.0;242;0.25;0.75;0.63;5.6;0.38;0.38;0.63;0.6;;0.38;0.5;0.514;0.513;3.54;1.33;1.57;0.75
2025 Mid-Season Invitational;2025-07-10;Anyone's Legend;13;32.4;1.16;0.87;0.43;0.008;58.3;3.2;778;0.38;0.69;0.54;1.9;0.85;0.85;0.54;0.48;0.5;0.46;0.53;0.505;0.525;3.64;1.36;1.81;0.6153846153846154
2025 Mid-Season Invitational;2025-07-10;Bilibili Gaming;18;32.6;1.29;0.93;1.06;0.031;62.2;4.4;985;0.72;0.61;0.61;4.4;0.67;0.65;0.67;0.61;1.0;0.44;0.53;0.504;0.529;3.16;1.22;1.57;0.6666666666666666
2025 Mid-Season Invitational;2025-07-10;CTBC Flying Oyster;13;32.9;0.96;0.87;0.11;0.022000000000000002;49.7;-3.5;-270;0.62;0.54;0.54;4.5;0.54;0.46;0.62;0.56;0.5;0.69;0.73;0.48700000000000004;0.51;3.92;1.6;1.65;0.46153846153846156
2025 Mid-Season Invitational;2025-07-10;FlyQuest;12;33.5;0.97;0.96;-0.45;-0.024;42.8;7.2;-694;0.33;0.5;0.42;2.3;0.33;0.36;0.42;0.43;1.0;0.42;0.5;0.488;0.48700000000000004;3.57;1.11;1.3;0.5
2025 Mid-Season Invitational;2025-07-10;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-10;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-10;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-10;Gen.G;14;32.1;1.15;0.81;0.41;0.027999999999999997;50.9;13.4;125;0.79;0.36;0.57;2.4;0.43;0.43;0.29;0.6;0.0;0.57;0.77;0.506;0.504;3.44;1.25;1.65;0.6428571428571429
2025 Mid-Season Invitational;2025-07-10;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-10;T1;13;32.9;1.14;0.91;0.07;0.013999999999999999;53.2;8.3;333;0.23;0.85;0.62;4.8;0.46;0.54;0.69;0.53;;0.31;0.36;0.51;0.503;3.71;1.37;1.51;0.6153846153846154
2025 Mid-Season Invitational;2025-07-11;Anyone's Legend;16;33.2;1.31;0.89;0.45;0.013999999999999999;56.8;12.0;797;0.38;0.75;0.63;2.4;0.69;0.83;0.44;0.49;0.5;0.5;0.6;0.504;0.526;3.69;1.39;1.77;0.6875
2025 Mid-Season Invitational;2025-07-11;Bilibili Gaming;21;33.2;1.1;0.94;0.81;0.021;60.5;-3.3;719;0.71;0.52;0.52;4.4;0.71;0.59;0.71;0.59;1.0;0.43;0.46;0.504;0.52;3.24;1.26;1.61;0.5714285714285714
2025 Mid-Season Invitational;2025-07-11;CTBC Flying Oyster;13;32.9;0.96;0.87;0.11;0.022000000000000002;49.7;-3.5;-270;0.62;0.54;0.54;4.5;0.54;0.46;0.62;0.56;0.5;0.69;0.73;0.48700000000000004;0.51;3.92;1.6;1.65;0.46153846153846156
2025 Mid-Season Invitational;2025-07-11;FlyQuest;12;33.5;0.97;0.96;-0.45;-0.024;42.8;7.2;-694;0.33;0.5;0.42;2.3;0.33;0.36;0.42;0.43;1.0;0.42;0.5;0.488;0.48700000000000004;3.57;1.11;1.3;0.5
2025 Mid-Season Invitational;2025-07-11;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-11;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-11;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-11;Gen.G;14;32.1;1.15;0.81;0.41;0.027999999999999997;50.9;13.4;125;0.79;0.36;0.57;2.4;0.43;0.43;0.29;0.6;0.0;0.57;0.77;0.506;0.504;3.44;1.25;1.65;0.6428571428571429
2025 Mid-Season Invitational;2025-07-11;Movistar KOI;8;34.3;0.79;0.75;-0.98;-0.04;37.0;-12.0;-771;0.5;0.13;0.38;3.3;0.5;0.29;0.25;0.38;0.0;0.5;0.36;0.504;0.45899999999999996;3.41;1.19;1.67;0.25
2025 Mid-Season Invitational;2025-07-11;T1;13;32.9;1.14;0.91;0.07;0.013999999999999999;53.2;8.3;333;0.23;0.85;0.62;4.8;0.46;0.54;0.69;0.53;;0.31;0.36;0.51;0.503;3.71;1.37;1.51;0.6153846153846154
2025 Mid-Season Invitational;2025-07-12;Anyone's Legend;21;32.2;1.14;0.91;0.22;0.002;53.8;8.1;534;0.43;0.67;0.52;2.4;0.62;0.78;0.38;0.46;0.33;0.38;0.55;0.503;0.516;3.68;1.37;1.71;0.6190476190476191
